date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
26-03-2022,2022,Mumbai,"Wankhede Stadium, Mumbai",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,131,5,133,4,Kolkata Knight Riders,complete,0,6,UT Yadav,M Nayyar,AK Chaudhary,Nitin Menon,VK Sharma,Chirra Ravikanthreddy,20,"RD Gaikwad, DP Conway, RV Uthappa, AT Rayudu, RA Jadeja, S Dube, MS Dhoni, DJ Bravo, MJ Santner, AF Milne, TU Deshpande","AM Rahane, VR Iyer, N Rana, SS Iyer, SW Billings, SP Jackson, AD Russell, SP Narine, UT Yadav, Shivam Mavi, CV Varun"
27-03-2022,2022,Mumbai,"Brabourne Stadium, Mumbai",Mumbai Indians,Delhi Capitals,Delhi Capitals,field,177,5,179,6,Delhi Capitals,complete,0,4,Kuldeep Yadav,Prakash Bhatt,RJ Tucker,HAS Khalid,J Madanagopal,N Pandit,20,"RG Sharma, Ishan Kishan, Anmolpreet Singh, Tilak Varma, KA Pollard, TH David, DR Sams, M Ashwin, TS Mills, JJ Bumrah, Basil Thampi","PP Shaw, TL Seifert, Mandeep Singh, RR Pant, Lalit Yadav, R Powell, SN Thakur, AR Patel, Kuldeep Yadav, KK Ahmed, KL Nagarkoti"
27-03-2022,2022,Mumbai,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,205,2,208,5,Punjab Kings,complete,0,5,OF Smith,M Nayyar,Nitin Menon,YC Barde,AK Chaudhary,R Pandit,20,"F du Plessis, Anuj Rawat, V Kohli, KD Karthik, SE Rutherford, DJ Willey, Shahbaz Ahmed, PWH de Silva, HV Patel, Mohammed Siraj, Akash Deep","MA Agarwal, S Dhawan, PBB Rajapaksa, LS Livingstone, RA Bawa, M Shahrukh Khan, OF Smith, Harpreet Brar, Arshdeep Singh, Sandeep Sharma, RD Chahar"
28-03-2022,2022,Mumbai,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,158,6,161,5,Gujarat Titans,complete,0,5,Mohammed Shami,DS Manohar,PG Pathak,VK Sharma,RJ Tucker,GR Sadashiv Iyer,20,"KL Rahul, Q de Kock, E Lewis, MK Pandey, DJ Hooda, A Badoni, KH Pandya, PVD Chameera, Mohsin Khan, Ravi Bishnoi, Avesh Khan","Shubman Gill, MS Wade, V Shankar, HH Pandya, DA Miller, R Tewatia, A Manohar, Rashid Khan, LH Ferguson, Mohammed Shami, VR Aaron"
29-03-2022,2022,Pune,"Maharashtra Cricket Association Stadium, Pune",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,210,6,149,7,Rajasthan Royals,complete,61,0,SV Samson,Shakti Singh,BNJ Oxenford,UV Gandhe,KN Ananthapadmanabhan,MV Saidharshan Kumar,20,"JC Buttler, YBK Jaiswal, SV Samson, D Padikkal, SO Hetmyer, R Parag, NM Coulter-Nile, R Ashwin, YS Chahal, TA Boult, M Prasidh Krishna","KS Williamson, Abhishek Sharma, RA Tripathi, N Pooran, AK Markram, Abdul Samad, R Shepherd, Washington Sundar, B Kumar, Umran Malik, T Natarajan"
30-03-2022,2022,Mumbai,"Dr DY Patil Sports Academy, Mumbai",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,128,10,132,7,Royal Challengers Bangalore,complete,0,3,PWH de Silva,M Nayyar,J Madanagopal,Navdeep Singh,Nitin Menon,Chirra Ravikanthreddy,20,"AM Rahane, VR Iyer, SS Iyer, N Rana, SP Narine, SW Billings, SP Jackson, AD Russell, TG Southee, UT Yadav, CV Varun","F du Plessis, Anuj Rawat, V Kohli, DJ Willey, SE Rutherford, Shahbaz Ahmed, KD Karthik, PWH de Silva, HV Patel, Mohammed Siraj, Akash Deep"
31-03-2022,2022,Mumbai,"Brabourne Stadium, Mumbai",Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,210,7,211,4,Lucknow Super Giants,complete,0,6,E Lewis,J Srinath,RJ Tucker,VK Sharma,YC Barde,NA Patwardhan,20,"RV Uthappa, RD Gaikwad, MM Ali, S Dube, AT Rayudu, RA Jadeja, MS Dhoni, D Pretorius, DJ Bravo, TU Deshpande, Mukesh Choudhary","KL Rahul, Q de Kock, MK Pandey, E Lewis, DJ Hooda, A Badoni, KH Pandya, PVD Chameera, AJ Tye, Ravi Bishnoi, Avesh Khan"
01-04-2022,2022,Mumbai,"Wankhede Stadium, Mumbai",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,137,10,141,4,Kolkata Knight Riders,complete,0,6,UT Yadav,Prakash Bhatt,AK Chaudhary,HAS Khalid,J Madanagopal,A Totre,20,"MA Agarwal, S Dhawan, PBB Rajapaksa, LS Livingstone, RA Bawa, M Shahrukh Khan, Harpreet Brar, OF Smith, RD Chahar, K Rabada, Arshdeep Singh","AM Rahane, VR Iyer, SS Iyer, SW Billings, N Rana, AD Russell, SP Narine, TG Southee, UT Yadav, CV Varun, Shivam Mavi"
02-04-2022,2022,Pune,"Maharashtra Cricket Association Stadium, Pune",Gujarat Titans,Delhi Capitals,Delhi Capitals,field,171,6,157,9,Gujarat Titans,complete,14,0,LH Ferguson,Shakti Singh,KN Ananthapadmanabhan,UV Gandhe,BNJ Oxenford,Vinod Seshan,20,"MS Wade, Shubman Gill, V Shankar, HH Pandya, DA Miller, R Tewatia, A Manohar, Rashid Khan, VR Aaron, LH Ferguson, Mohammed Shami","PP Shaw, TL Seifert, Mandeep Singh, RR Pant, Lalit Yadav, R Powell, AR Patel, SN Thakur, Kuldeep Yadav, KK Ahmed, Mustafizur Rahman"
02-04-2022,2022,Mumbai,"Dr DY Patil Sports Academy, Mumbai",Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,193,8,170,8,Rajasthan Royals,complete,23,0,JC Buttler,DS Manohar,Nitin Menon,PG Pathak,VK Sharma,N Pandit,20,"JC Buttler, YBK Jaiswal, D Padikkal, SV Samson, SO Hetmyer, R Parag, R Ashwin, Navdeep Saini, TA Boult, YS Chahal, M Prasidh Krishna","Ishan Kishan, RG Sharma, Anmolpreet Singh, Tilak Varma, KA Pollard, TH David, DR Sams, M Ashwin, JJ Bumrah, TS Mills, Basil Thampi"
